Brand,Collection,Product Series,Background Template,Color Name,Color Number,Finish
Daltile,Core Fundamentals,Advantage,advantage-template.png,Portrait White,AQ01,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Mural Taupe,AQ02,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Renoir Grey,AQ03,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Off White,AR30,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Light Beige,AR31,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Light Gray,AR32,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,White,BL43,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Grey,BL45,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Aria White,EP20,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Percussion Taupe,EP21,Matte
Daltile,Core Fundamentals,Advantage,advantage-template.png,Trumpet Grey,EP22,Matte
Daltile,LVF,Adventuro,adventuro-template.png,Traveler,AD30,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Voyage,AD31,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Journey,AD32,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Compass,AD33,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Forest,AD34,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Arc,AD35,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Explorer,AD36,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Wander,AD37,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Trekker,AD38,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Intrepid,AD39,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Wilde,AD40,NULL
Daltile,LVF,Adventuro,adventuro-template.png,Mariner,AD41,NULL
Daltile,,Aesthetic,aesthetic-template.png,Flat Satin,AS20,Satin
Daltile,,Aesthetic,aesthetic-template.png,Flat Glossy,AS21,Glossy
Daltile,,Aesthetic,aesthetic-template.png,Frequency,AS22,Satin
Daltile,,Aesthetic,aesthetic-template.png,Geometric,AS23,Satin
Daltile,,Aesthetic,aesthetic-template.png,Tribal,AS24,Satin
Daltile,,Aesthetic,aesthetic-template.png,Arrow,AS25,Satin
Daltile,,Aesthetic,aesthetic-template.png,Retrocube,AS26,Satin
Daltile,,Aesthetic,aesthetic-template.png,Honeycomb,AS27,Satin
Daltile,,Affinity,affinity-template.png,Cream,AF01,Matte
Daltile,,Affinity,affinity-template.png,Beige,AF02,Matte
Daltile,,Affinity,affinity-template.png,Gray,AF03,Matte